Calling `python -m mlx_lm.lora...` directly is deprecated. Use `mlx_lm.lora...` or `python -m mlx_lm lora ...` instead.
Loading pretrained model

Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]
Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 5113.62it/s]
Loading datasets
Training
Trainable parameters: 0.484% (2.884M/596.050M)
Starting training..., iters: 360

Calculating loss...:   0%|          | 0/1 [00:00<?, ?it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00, 10.82it/s]
Iter 1: Val loss 3.053, Val took 0.103s
Iter 90: Train loss 0.212, Learning Rate 1.000e-04, It/sec 6.076, Tokens/sec 285.586, Trained Tokens 5385, Peak mem 1.893 GB
Iter 91: Train loss 0.038, Learning Rate 1.000e-04, It/sec 6.154, Tokens/sec 184.628, Trained Tokens 5415, Peak mem 1.893 GB
Iter 92: Train loss 0.052, Learning Rate 1.000e-04, It/sec 6.692, Tokens/sec 194.063, Trained Tokens 5444, Peak mem 1.893 GB
Iter 93: Train loss 0.184, Learning Rate 1.000e-04, It/sec 4.136, Tokens/sec 376.355, Trained Tokens 5535, Peak mem 1.893 GB
Iter 94: Train loss 0.068, Learning Rate 1.000e-04, It/sec 6.808, Tokens/sec 524.232, Trained Tokens 5612, Peak mem 1.893 GB
Iter 95: Train loss 0.169, Learning Rate 1.000e-04, It/sec 6.810, Tokens/sec 347.299, Trained Tokens 5663, Peak mem 1.893 GB
Iter 96: Train loss 0.035, Learning Rate 1.000e-04, It/sec 7.305, Tokens/sec 219.162, Trained Tokens 5693, Peak mem 1.893 GB
Iter 97: Train loss 0.117, Learning Rate 1.000e-04, It/sec 5.716, Tokens/sec 520.201, Trained Tokens 5784, Peak mem 1.893 GB
Iter 98: Train loss 0.081, Learning Rate 1.000e-04, It/sec 7.432, Tokens/sec 230.397, Trained Tokens 5815, Peak mem 1.893 GB
Iter 99: Train loss 0.212, Learning Rate 1.000e-04, It/sec 4.442, Tokens/sec 555.275, Trained Tokens 5940, Peak mem 1.893 GB
Iter 100: Train loss 0.029, Learning Rate 1.000e-04, It/sec 6.633, Tokens/sec 510.727, Trained Tokens 6017, Peak mem 1.893 GB
Iter 101: Train loss 0.174, Learning Rate 1.000e-04, It/sec 4.295, Tokens/sec 455.240, Trained Tokens 6123, Peak mem 1.893 GB
Iter 102: Train loss 0.188, Learning Rate 1.000e-04, It/sec 5.423, Tokens/sec 265.736, Trained Tokens 6172, Peak mem 1.893 GB
Iter 103: Train loss 0.073, Learning Rate 1.000e-04, It/sec 4.679, Tokens/sec 229.248, Trained Tokens 6221, Peak mem 1.893 GB
Iter 104: Train loss 0.224, Learning Rate 1.000e-04, It/sec 6.058, Tokens/sec 308.942, Trained Tokens 6272, Peak mem 1.893 GB
Iter 105: Train loss 0.075, Learning Rate 1.000e-04, It/sec 5.216, Tokens/sec 683.233, Trained Tokens 6403, Peak mem 1.893 GB
Iter 106: Train loss 0.121, Learning Rate 1.000e-04, It/sec 6.763, Tokens/sec 209.648, Trained Tokens 6434, Peak mem 1.893 GB
Iter 107: Train loss 0.088, Learning Rate 1.000e-04, It/sec 5.012, Tokens/sec 656.616, Trained Tokens 6565, Peak mem 1.893 GB
Iter 108: Train loss 0.175, Learning Rate 1.000e-04, It/sec 5.556, Tokens/sec 166.691, Trained Tokens 6595, Peak mem 1.893 GB
Iter 109: Train loss 0.169, Learning Rate 1.000e-04, It/sec 6.774, Tokens/sec 196.435, Trained Tokens 6624, Peak mem 1.893 GB
Iter 110: Train loss 0.081, Learning Rate 1.000e-04, It/sec 5.100, Tokens/sec 668.092, Trained Tokens 6755, Peak mem 1.893 GB
Iter 111: Train loss 0.189, Learning Rate 1.000e-04, It/sec 6.714, Tokens/sec 208.121, Trained Tokens 6786, Peak mem 1.893 GB
Iter 112: Train loss 0.171, Learning Rate 1.000e-04, It/sec 7.364, Tokens/sec 220.912, Trained Tokens 6816, Peak mem 1.893 GB
Iter 113: Train loss 0.063, Learning Rate 1.000e-04, It/sec 6.821, Tokens/sec 211.439, Trained Tokens 6847, Peak mem 1.893 GB
Iter 114: Train loss 0.146, Learning Rate 1.000e-04, It/sec 4.674, Tokens/sec 612.339, Trained Tokens 6978, Peak mem 1.893 GB
Iter 115: Train loss 0.164, Learning Rate 1.000e-04, It/sec 5.132, Tokens/sec 261.715, Trained Tokens 7029, Peak mem 1.893 GB
Iter 116: Train loss 0.148, Learning Rate 1.000e-04, It/sec 6.664, Tokens/sec 339.855, Trained Tokens 7080, Peak mem 1.893 GB
Iter 117: Train loss 0.029, Learning Rate 1.000e-04, It/sec 6.775, Tokens/sec 521.689, Trained Tokens 7157, Peak mem 1.893 GB
Iter 118: Train loss 0.090, Learning Rate 1.000e-04, It/sec 4.998, Tokens/sec 454.842, Trained Tokens 7248, Peak mem 1.893 GB
Iter 119: Train loss 0.147, Learning Rate 1.000e-04, It/sec 5.541, Tokens/sec 271.503, Trained Tokens 7297, Peak mem 1.893 GB
Iter 120: Train loss 0.046, Learning Rate 1.000e-04, It/sec 7.316, Tokens/sec 219.475, Trained Tokens 7327, Peak mem 1.893 GB
Iter 121: Train loss 0.091, Learning Rate 1.000e-04, It/sec 6.161, Tokens/sec 190.999, Trained Tokens 7358, Peak mem 1.893 GB
Iter 122: Train loss 0.079, Learning Rate 1.000e-04, It/sec 5.232, Tokens/sec 371.498, Trained Tokens 7429, Peak mem 1.893 GB
Iter 123: Train loss 0.022, Learning Rate 1.000e-04, It/sec 7.454, Tokens/sec 223.632, Trained Tokens 7459, Peak mem 1.893 GB
Iter 124: Train loss 0.098, Learning Rate 1.000e-04, It/sec 6.011, Tokens/sec 300.563, Trained Tokens 7509, Peak mem 1.893 GB
Iter 125: Train loss 0.132, Learning Rate 1.000e-04, It/sec 6.108, Tokens/sec 189.339, Trained Tokens 7540, Peak mem 1.893 GB
Iter 126: Train loss 0.042, Learning Rate 1.000e-04, It/sec 6.788, Tokens/sec 522.642, Trained Tokens 7617, Peak mem 1.893 GB
Iter 127: Train loss 0.037, Learning Rate 1.000e-04, It/sec 6.811, Tokens/sec 197.519, Trained Tokens 7646, Peak mem 1.893 GB
Iter 128: Train loss 0.090, Learning Rate 1.000e-04, It/sec 5.956, Tokens/sec 291.845, Trained Tokens 7695, Peak mem 1.893 GB
Iter 129: Train loss 0.048, Learning Rate 1.000e-04, It/sec 6.866, Tokens/sec 528.682, Trained Tokens 7772, Peak mem 1.893 GB
Iter 130: Train loss 0.138, Learning Rate 1.000e-04, It/sec 5.641, Tokens/sec 513.327, Trained Tokens 7863, Peak mem 1.893 GB
Iter 131: Train loss 0.048, Learning Rate 1.000e-04, It/sec 6.699, Tokens/sec 515.861, Trained Tokens 7940, Peak mem 1.893 GB
Iter 132: Train loss 0.205, Learning Rate 1.000e-04, It/sec 6.002, Tokens/sec 306.098, Trained Tokens 7991, Peak mem 1.893 GB
Iter 133: Train loss 0.042, Learning Rate 1.000e-04, It/sec 6.742, Tokens/sec 519.146, Trained Tokens 8068, Peak mem 1.893 GB
Iter 134: Train loss 0.017, Learning Rate 1.000e-04, It/sec 5.516, Tokens/sec 165.493, Trained Tokens 8098, Peak mem 1.893 GB
Iter 135: Train loss 0.182, Learning Rate 1.000e-04, It/sec 4.499, Tokens/sec 476.877, Trained Tokens 8204, Peak mem 1.893 GB
Iter 136: Train loss 0.060, Learning Rate 1.000e-04, It/sec 6.856, Tokens/sec 212.524, Trained Tokens 8235, Peak mem 1.893 GB
Iter 137: Train loss 0.025, Learning Rate 1.000e-04, It/sec 7.513, Tokens/sec 225.392, Trained Tokens 8265, Peak mem 1.893 GB
Iter 138: Train loss 0.056, Learning Rate 1.000e-04, It/sec 6.176, Tokens/sec 302.631, Trained Tokens 8314, Peak mem 1.893 GB
Iter 139: Train loss 0.191, Learning Rate 1.000e-04, It/sec 4.748, Tokens/sec 526.990, Trained Tokens 8425, Peak mem 1.893 GB
Iter 140: Train loss 0.070, Learning Rate 1.000e-04, It/sec 5.538, Tokens/sec 271.380, Trained Tokens 8474, Peak mem 1.893 GB
