Calling `python -m mlx_lm.lora...` directly is deprecated. Use `mlx_lm.lora...` or `python -m mlx_lm lora ...` instead.
Loading pretrained model

Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]
Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 2548.87it/s]
Loading datasets
Training
Trainable parameters: 0.484% (2.884M/596.050M)
Starting training..., iters: 360

Calculating loss...:   0%|          | 0/1 [00:00<?, ?it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00,  1.72it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00,  1.72it/s]
Iter 1: Val loss 3.053, Val took 0.591s
Iter 160: Train loss 0.080, Learning Rate 1.000e-04, It/sec 4.983, Tokens/sec 712.504, Trained Tokens 11166, Peak mem 1.990 GB
Iter 161: Train loss 0.130, Learning Rate 1.000e-04, It/sec 4.793, Tokens/sec 599.172, Trained Tokens 11291, Peak mem 1.990 GB
Iter 162: Train loss 0.100, Learning Rate 1.000e-04, It/sec 5.175, Tokens/sec 677.896, Trained Tokens 11422, Peak mem 1.990 GB
Iter 163: Train loss 0.038, Learning Rate 1.000e-04, It/sec 6.775, Tokens/sec 203.247, Trained Tokens 11452, Peak mem 1.990 GB
Iter 164: Train loss 0.118, Learning Rate 1.000e-04, It/sec 4.339, Tokens/sec 620.510, Trained Tokens 11595, Peak mem 1.990 GB
Iter 165: Train loss 0.201, Learning Rate 1.000e-04, It/sec 5.866, Tokens/sec 299.153, Trained Tokens 11646, Peak mem 1.990 GB
Iter 166: Train loss 0.059, Learning Rate 1.000e-04, It/sec 4.733, Tokens/sec 676.886, Trained Tokens 11789, Peak mem 1.990 GB
Iter 167: Train loss 0.110, Learning Rate 1.000e-04, It/sec 5.542, Tokens/sec 282.636, Trained Tokens 11840, Peak mem 1.990 GB
Iter 168: Train loss 0.072, Learning Rate 1.000e-04, It/sec 4.685, Tokens/sec 669.952, Trained Tokens 11983, Peak mem 1.990 GB
Iter 169: Train loss 0.065, Learning Rate 1.000e-04, It/sec 5.647, Tokens/sec 400.930, Trained Tokens 12054, Peak mem 1.990 GB
Iter 170: Train loss 0.071, Learning Rate 1.000e-04, It/sec 6.055, Tokens/sec 399.608, Trained Tokens 12120, Peak mem 1.990 GB
Iter 171: Train loss 0.082, Learning Rate 1.000e-04, It/sec 4.770, Tokens/sec 682.088, Trained Tokens 12263, Peak mem 1.990 GB
Iter 172: Train loss 0.068, Learning Rate 1.000e-04, It/sec 4.582, Tokens/sec 142.043, Trained Tokens 12294, Peak mem 1.990 GB
Iter 173: Train loss 0.068, Learning Rate 1.000e-04, It/sec 4.982, Tokens/sec 453.321, Trained Tokens 12385, Peak mem 1.990 GB
Iter 174: Train loss 0.103, Learning Rate 1.000e-04, It/sec 4.511, Tokens/sec 500.775, Trained Tokens 12496, Peak mem 1.990 GB
Iter 175: Train loss 0.062, Learning Rate 1.000e-04, It/sec 7.372, Tokens/sec 221.169, Trained Tokens 12526, Peak mem 1.990 GB
Iter 176: Train loss 0.142, Learning Rate 1.000e-04, It/sec 6.016, Tokens/sec 294.806, Trained Tokens 12575, Peak mem 1.990 GB
