Calling `python -m mlx_lm.lora...` directly is deprecated. Use `mlx_lm.lora...` or `python -m mlx_lm lora ...` instead.
Loading pretrained model

Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]
Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 4878.36it/s]
Loading datasets
Training
Trainable parameters: 0.484% (2.884M/596.050M)
Starting training..., iters: 288

Calculating loss...:   0%|          | 0/1 [00:00<?, ?it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00, 10.90it/s]
Iter 1: Val loss 3.053, Val took 0.099s
Iter 92: Train loss 0.116, Learning Rate 1.000e-04, It/sec 4.979, Tokens/sec 253.921, Trained Tokens 5258, Peak mem 1.931 GB
Iter 93: Train loss 0.168, Learning Rate 1.000e-04, It/sec 6.829, Tokens/sec 348.275, Trained Tokens 5309, Peak mem 1.931 GB
Iter 94: Train loss 0.137, Learning Rate 1.000e-04, It/sec 5.175, Tokens/sec 470.952, Trained Tokens 5400, Peak mem 1.931 GB
Iter 95: Train loss 0.115, Learning Rate 1.000e-04, It/sec 5.529, Tokens/sec 270.905, Trained Tokens 5449, Peak mem 1.931 GB
Iter 96: Train loss 0.053, Learning Rate 1.000e-04, It/sec 7.382, Tokens/sec 221.467, Trained Tokens 5479, Peak mem 1.931 GB
Iter 97: Train loss 0.044, Learning Rate 1.000e-04, It/sec 6.707, Tokens/sec 201.222, Trained Tokens 5509, Peak mem 1.931 GB
Iter 98: Train loss 0.054, Learning Rate 1.000e-04, It/sec 6.125, Tokens/sec 300.124, Trained Tokens 5558, Peak mem 1.931 GB
Iter 99: Train loss 0.061, Learning Rate 1.000e-04, It/sec 6.135, Tokens/sec 300.635, Trained Tokens 5607, Peak mem 1.931 GB
Iter 100: Train loss 0.108, Learning Rate 1.000e-04, It/sec 4.914, Tokens/sec 447.143, Trained Tokens 5698, Peak mem 1.931 GB
Iter 101: Train loss 0.259, Learning Rate 1.000e-04, It/sec 6.083, Tokens/sec 285.924, Trained Tokens 5745, Peak mem 1.931 GB
Iter 102: Train loss 0.081, Learning Rate 1.000e-04, It/sec 5.121, Tokens/sec 261.183, Trained Tokens 5796, Peak mem 1.931 GB
