Calling `python -m mlx_lm.lora...` directly is deprecated. Use `mlx_lm.lora...` or `python -m mlx_lm lora ...` instead.
Loading pretrained model

Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]
Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 4111.17it/s]
Loading datasets
Training
Trainable parameters: 0.484% (2.884M/596.050M)
Starting training..., iters: 72

Calculating loss...:   0%|          | 0/1 [00:00<?, ?it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00,  2.87it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00,  2.87it/s]
Iter 1: Val loss 3.053, Val took 0.357s
Iter 50: Train loss 0.142, Learning Rate 1.000e-04, It/sec 5.675, Tokens/sec 743.414, Trained Tokens 3068, Peak mem 1.757 GB
Iter 51: Train loss 0.054, Learning Rate 1.000e-04, It/sec 7.466, Tokens/sec 216.517, Trained Tokens 3097, Peak mem 1.757 GB
Iter 52: Train loss 0.076, Learning Rate 1.000e-04, It/sec 6.717, Tokens/sec 208.223, Trained Tokens 3128, Peak mem 1.757 GB
Iter 53: Train loss 0.186, Learning Rate 1.000e-04, It/sec 5.093, Tokens/sec 361.608, Trained Tokens 3199, Peak mem 1.757 GB
Iter 54: Train loss 0.219, Learning Rate 1.000e-04, It/sec 5.172, Tokens/sec 470.672, Trained Tokens 3290, Peak mem 1.757 GB
Iter 55: Train loss 0.241, Learning Rate 1.000e-04, It/sec 6.724, Tokens/sec 342.903, Trained Tokens 3341, Peak mem 1.757 GB
Iter 56: Train loss 0.084, Learning Rate 1.000e-04, It/sec 6.816, Tokens/sec 197.654, Trained Tokens 3370, Peak mem 1.757 GB
Iter 57: Train loss 0.038, Learning Rate 1.000e-04, It/sec 7.502, Tokens/sec 232.555, Trained Tokens 3401, Peak mem 1.757 GB
Iter 58: Train loss 0.188, Learning Rate 1.000e-04, It/sec 5.052, Tokens/sec 535.552, Trained Tokens 3507, Peak mem 1.757 GB
Iter 59: Train loss 0.027, Learning Rate 1.000e-04, It/sec 7.695, Tokens/sec 223.161, Trained Tokens 3536, Peak mem 1.757 GB
Iter 60: Train loss 0.244, Learning Rate 1.000e-04, It/sec 6.084, Tokens/sec 431.977, Trained Tokens 3607, Peak mem 1.757 GB
Iter 61: Train loss 0.151, Learning Rate 1.000e-04, It/sec 4.491, Tokens/sec 588.323, Trained Tokens 3738, Peak mem 1.877 GB
Iter 62: Train loss 0.032, Learning Rate 1.000e-04, It/sec 6.867, Tokens/sec 212.870, Trained Tokens 3769, Peak mem 1.877 GB
Iter 63: Train loss 0.038, Learning Rate 1.000e-04, It/sec 6.218, Tokens/sec 192.757, Trained Tokens 3800, Peak mem 1.877 GB
Iter 64: Train loss 0.034, Learning Rate 1.000e-04, It/sec 7.344, Tokens/sec 220.316, Trained Tokens 3830, Peak mem 1.877 GB
Iter 65: Train loss 0.184, Learning Rate 1.000e-04, It/sec 6.185, Tokens/sec 296.885, Trained Tokens 3878, Peak mem 1.877 GB
Iter 66: Train loss 0.150, Learning Rate 1.000e-04, It/sec 5.120, Tokens/sec 640.045, Trained Tokens 4003, Peak mem 1.877 GB
Iter 67: Train loss 0.054, Learning Rate 1.000e-04, It/sec 6.113, Tokens/sec 183.392, Trained Tokens 4033, Peak mem 1.877 GB
Iter 68: Train loss 0.093, Learning Rate 1.000e-04, It/sec 5.110, Tokens/sec 669.463, Trained Tokens 4164, Peak mem 1.877 GB
